"Name_val","Name_@footnote","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_UnitCost_BudgetYearOne_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Flight Control Units","","10","10","0.253","0.253","","","","25.32","25.32","9e8cbb3ffc3ddd6c1e5d04bdadf6af2b287a5a24-0-5c341818b126e01dfcd495f90a80d8f66548492a","9e8cbb3ffc3ddd6c1e5d04bdadf6af2b287a5a24","root.record.ItemExhibitList.P5Item","9e8cbb3ffc3ddd6c1e5d04bdadf6af2b287a5a24-0-5ca5a3d0e7565d79aff2348d76dbf6cb64972c29"
"Tactical Battery Chargers","","10","10","0.037","0.037","","","","3.68","3.68","9e8cbb3ffc3ddd6c1e5d04bdadf6af2b287a5a24-1-6ae6ca89917b4ab9b44ed1be7b74a78120c050c1","9e8cbb3ffc3ddd6c1e5d04bdadf6af2b287a5a24","root.record.ItemExhibitList.P5Item","9e8cbb3ffc3ddd6c1e5d04bdadf6af2b287a5a24-0-5ca5a3d0e7565d79aff2348d76dbf6cb64972c29"
"Fielding","","","","0.36","0.36","","","","","","9e8cbb3ffc3ddd6c1e5d04bdadf6af2b287a5a24-2-313e8afc7ae7f1af9b2c8059ab9573d1fa8d0f31","9e8cbb3ffc3ddd6c1e5d04bdadf6af2b287a5a24","root.record.ItemExhibitList.P5Item","9e8cbb3ffc3ddd6c1e5d04bdadf6af2b287a5a24-0-5ca5a3d0e7565d79aff2348d76dbf6cb64972c29"
"Direct Mission Support (DMS) [Systems Engineering, Testing, Shipping]","","","","0","0.269","0.3","0.372","0.269","","","d745a52f6d001796e97ffdbb3089d9c82ba61403-0-d148b85e452b2cd2ed446b192c20f68ac5b643da","d745a52f6d001796e97ffdbb3089d9c82ba61403","root.record.ItemExhibitList.P5Item","d745a52f6d001796e97ffdbb3089d9c82ba61403-0-7c507e129313876fc670b8415cc359be4ade8d71"
"PMA Contractor Services","","","","0","0.175","0.2","0.245","0.175","","","d745a52f6d001796e97ffdbb3089d9c82ba61403-1-1940c9c72390321ceedc47f75a424e048fe3fe76","d745a52f6d001796e97ffdbb3089d9c82ba61403","root.record.ItemExhibitList.P5Item","d745a52f6d001796e97ffdbb3089d9c82ba61403-0-7c507e129313876fc670b8415cc359be4ade8d71"
"PMA Other Government Costs","","","","0","0.06","0.07","0.085","0.06","","","d745a52f6d001796e97ffdbb3089d9c82ba61403-2-b91ab60a8da49ab4a9ef6308e29c8c330a861824","d745a52f6d001796e97ffdbb3089d9c82ba61403","root.record.ItemExhibitList.P5Item","d745a52f6d001796e97ffdbb3089d9c82ba61403-0-7c507e129313876fc670b8415cc359be4ade8d71"
"Direct Mission Support (DMS) [Systems Engineering, Testing, Shipping]","Direct Mission Support (DMS) includes Systems Engineering, Shipping and Testing for Acquisition Projects","","","","0.3","0.332","0.23","0.3","","","6971613bea829a3c0e42304e66ee4faac38ba79c-0-ea69be08201e78ebe0786c974ef43e34ef747fe7","6971613bea829a3c0e42304e66ee4faac38ba79c","root.record.ItemExhibitList.P5Item","6971613bea829a3c0e42304e66ee4faac38ba79c-1-ddf9277c15b9db8fa79c8ba0f5f87c4ac3d32b2a"
"PMA Contractor Services","","","","","0.2","0.177","0.247","0.2","","","6971613bea829a3c0e42304e66ee4faac38ba79c-1-8d68376528701d5ce5b249ee0e70c068221d4f28","6971613bea829a3c0e42304e66ee4faac38ba79c","root.record.ItemExhibitList.P5Item","6971613bea829a3c0e42304e66ee4faac38ba79c-1-ddf9277c15b9db8fa79c8ba0f5f87c4ac3d32b2a"
"PMA Other Government Costs","","","","","0.07","0.053","0.069","0.07","","","6971613bea829a3c0e42304e66ee4faac38ba79c-2-4a1d3a239c93cd5a922180f91bb039778b37d81d","6971613bea829a3c0e42304e66ee4faac38ba79c","root.record.ItemExhibitList.P5Item","6971613bea829a3c0e42304e66ee4faac38ba79c-1-ddf9277c15b9db8fa79c8ba0f5f87c4ac3d32b2a"
"Direct Mission Support (DMS) [Systems Engineering, Testing, Shipping]","","","","","0.372","0.23","0.3","0.372","","","4166eb967b6cceed46c50ac26a7172f7e5bbc754-0-b8bb43c214f512821c903d5d675e61016718ebce","4166eb967b6cceed46c50ac26a7172f7e5bbc754","root.record.ItemExhibitList.P5Item","4166eb967b6cceed46c50ac26a7172f7e5bbc754-0-98bc2a27094e5077d59c333cba668199fa4be069"
"PMA Contractor Services","","","","","0.245","0.247","0.2","0.245","","","4166eb967b6cceed46c50ac26a7172f7e5bbc754-1-cb50d4d6760099eb8b99ddbdc89e4d075143776d","4166eb967b6cceed46c50ac26a7172f7e5bbc754","root.record.ItemExhibitList.P5Item","4166eb967b6cceed46c50ac26a7172f7e5bbc754-0-98bc2a27094e5077d59c333cba668199fa4be069"
"PMA Other Government Costs","","","","","0.085","0.069","0.07","0.085","","","4166eb967b6cceed46c50ac26a7172f7e5bbc754-2-cb9bdb4dd2947cfe2ebf89dd5e9eb41e4a76aa49","4166eb967b6cceed46c50ac26a7172f7e5bbc754","root.record.ItemExhibitList.P5Item","4166eb967b6cceed46c50ac26a7172f7e5bbc754-0-98bc2a27094e5077d59c333cba668199fa4be069"
